process,software,data item,data model,data format specification
ground test,java application,,,
ground test,access,,,
ground test,multi-agent collaborative system,,,
ground test,tr,,,
ground test,word,,,
ground test,api,,,
ground test,catia,,,
ground test,pest,,,
ground test,flops,,,
ground test,git,,,
ground test,eclipse,,,
ground test,cloud visualization,,,
ground test,expert systems,,,
ground test,sas,,,
ground test,rce,,,
ground test,protégé,,,
ground test,google,,,
ground test,matlab,,,
ground test,triple store,,,
ground test, engineering java programming,,,
ground test,aaa,,,
ground test,python application,,,
ground test,reasoner,,,
ground test,outlook,,,
ground test,sumo,,,
ground test,web-based decision tool,,,
ground test,fortran application,,,
ground test,learning tools,,,
ground test,data mining,,,
ground test,express application,,,
ground test,visualization package,,,
ground test,wikipedia,,,
ground test,workflow systems,,,
ground test,product data management system,,,
ground test,ke-chain,,,
ground test,ug,,,
ground test,excel,,,
ground test,web server,,,
ground test,tornado,,,
ground test,ideas,,,
ground test,file server,,,
ground test,cad programming interface,,,
ground test,share point,,,
ground test,,bom,,
ground test,,implicit geometry,,
ground test,,knowledge graph,,
ground test,,cad representation,,
ground test,,video,,
ground test,,lexical data,,
ground test,,description,,
ground test,,section description,,
ground test,,manufacturing method,,
ground test,,taxonomy,,
ground test,,forms,,
ground test,,measurement data,,
ground test,,process definitions,,
ground test,,external web page,,
ground test,,difficulty,,
ground test,,image,,
ground test,,quantity,,
ground test,,word processor documents,,
ground test,,cfd simulation data,,
ground test,,documents,,
ground test,,cfd code,,
ground test,,point clouds,,
ground test,,object definitions,,
ground test,,knowledge base,,
ground test,,mind map,,
ground test,,business logic,,
ground test,,audio,,
ground test,,live video,,
ground test,,system definition,,
ground test,,pdf files,,
ground test,,metadata,,
ground test,,explicit geometry,,
ground test,,material,,
ground test,,tools needed,,
ground test,,assemblies,,
ground test,,sysml model,,
ground test,,word doc,,
ground test,,animation,,
ground test,,ontology,,
ground test,,design parts,,
ground test,,tooling parts,,
ground test,,images,,
ground test,,cad,,
ground test,,,sparql,
ground test,,,express,
ground test,,,vba,
ground test,,,owl dl,
ground test,,,postgresql,
ground test,,,sql,
ground test,,,sysml,
ground test,,,aerospace ontology,
ground test,,,python,
ground test,,,rds,
ground test,,,bfo,
ground test,,,topic maps,
ground test,,,uml,
ground test,,,sysml ,
ground test,,,nasa taxonomy,
ground test,,,owl-ql,
ground test,,,cco,
ground test,,,xml-schema-definition,
ground test,,,,ms word
ground test,,,,iges
ground test,,,,mov
ground test,,,,step
ground test,,,,flat file
ground test,,,,direct api
ground test,,,,owl
ground test,,,,html
ground test,,,,rdf
ground test,,,,json
ground test,,,,ms excel
ground test,,,,wav
ground test,,,,xml
ground test,,,,ad_asm
ground test,,,,database
ground test,,,,pdf
ground test,,,,add
ground test,,,,tiff
ground test,,,,flash
ground test,,,,stl
ground test,,,,cpacs
ground test,,,,igs
ground test,,,,csv
semantic lexicon,access,,,
semantic lexicon,tr,,,
semantic lexicon,word,,,
semantic lexicon,api,,,
semantic lexicon,git,,,
semantic lexicon,expert systems,,,
semantic lexicon,rce,,,
semantic lexicon,google,,,
semantic lexicon,learning tools,,,
semantic lexicon,data mining,,,
semantic lexicon,express application,,,
semantic lexicon,wikipedia,,,
semantic lexicon,product data management system,,,
semantic lexicon,ug,,,
semantic lexicon,share point,,,
semantic lexicon,,knowledge graph,,
semantic lexicon,,cad representation,,
semantic lexicon,,lexical data,,
semantic lexicon,,description,,
semantic lexicon,,section description,,
semantic lexicon,,manufacturing method,,
semantic lexicon,,taxonomy,,
semantic lexicon,,forms,,
semantic lexicon,,process definitions,,
semantic lexicon,,image,,
semantic lexicon,,documents,,
semantic lexicon,,object definitions,,
semantic lexicon,,knowledge base,,
semantic lexicon,,business logic,,
semantic lexicon,,system definition,,
semantic lexicon,,word doc,,
semantic lexicon,,ontology,,
semantic lexicon,,cad,,
semantic lexicon,,,sparql,
semantic lexicon,,,express,
semantic lexicon,,,owl dl,
semantic lexicon,,,sql,
semantic lexicon,,,wordnet,
semantic lexicon,,,aerospace ontology,
semantic lexicon,,,rds,
semantic lexicon,,,uml,
semantic lexicon,,,owl-ql,
semantic lexicon,,,cco,
semantic lexicon,,,,ms word
semantic lexicon,,,,mov
semantic lexicon,,,,step
semantic lexicon,,,,owl
semantic lexicon,,,,html
semantic lexicon,,,,rdf
semantic lexicon,,,,xml
semantic lexicon,,,,database
semantic lexicon,,,,add
semantic lexicon,,,,stl
crawling,access,,,
crawling,tr,,,
crawling,word,,,
crawling,api,,,
crawling,rce,,,
crawling,google,,,
crawling,data mining,,,
crawling,ug,,,
crawling,web server,,,
crawling,,knowledge graph,,
crawling,,forms,,
crawling,,documents,,
crawling,,knowledge base,,
crawling,,cad,,
crawling,,,owl dl,
crawling,,,sql,
crawling,,,rds,
crawling,,,owl-ql,
crawling,,,cco,
crawling,,,,step
crawling,,,,owl
crawling,,,,rdf
crawling,,,,database
crawling,,,,add
calculation report,java application,,,
calculation report,access,,,
calculation report,multi-agent collaborative system,,,
calculation report,tr,,,
calculation report,word,,,
calculation report,api,,,
calculation report,catia,,,
calculation report,flops,,,
calculation report,git,,,
calculation report,eclipse,,,
calculation report,cloud visualization,,,
calculation report,expert systems,,,
calculation report,sas,,,
calculation report,rce,,,
calculation report,google,,,
calculation report,matlab,,,
calculation report,triple store,,,
calculation report, engineering java programming,,,
calculation report,aaa,,,
calculation report,python application,,,
calculation report,reasoner,,,
calculation report,web-based decision tool,,,
calculation report,fortran application,,,
calculation report,learning tools,,,
calculation report,data mining,,,
calculation report,express application,,,
calculation report,visualization package,,,
calculation report,wikipedia,,,
calculation report,workflow systems,,,
calculation report,product data management system,,,
calculation report,ke-chain,,,
calculation report,ug,,,
calculation report,excel,,,
calculation report,web server,,,
calculation report,ideas,,,
calculation report,file server,,,
calculation report,cad programming interface,,,
calculation report,share point,,,
calculation report,,bom,,
calculation report,,implicit geometry,,
calculation report,,knowledge graph,,
calculation report,,cad representation,,
calculation report,,video,,
calculation report,,description,,
calculation report,,section description,,
calculation report,,manufacturing method,,
calculation report,,taxonomy,,
calculation report,,forms,,
calculation report,,measurement data,,
calculation report,,process definitions,,
calculation report,,external web page,,
calculation report,,difficulty,,
calculation report,,image,,
calculation report,,quantity,,
calculation report,,word processor documents,,
calculation report,,cfd simulation data,,
calculation report,,documents,,
calculation report,,cfd code,,
calculation report,,object definitions,,
calculation report,,knowledge base,,
calculation report,,mind map,,
calculation report,,business logic,,
calculation report,,audio,,
calculation report,,live video,,
calculation report,,system definition,,
calculation report,,pdf files,,
calculation report,,metadata,,
calculation report,,explicit geometry,,
calculation report,,material,,
calculation report,,tools needed,,
calculation report,,sysml model,,
calculation report,,word doc,,
calculation report,,ontology,,
calculation report,,design parts,,
calculation report,,tooling parts,,
calculation report,,images,,
calculation report,,cad,,
calculation report,,,express,
calculation report,,,owl dl,
calculation report,,,sql,
calculation report,,,sysml,
calculation report,,,aerospace ontology,
calculation report,,,python,
calculation report,,,rds,
calculation report,,,topic maps,
calculation report,,,uml,
calculation report,,,sysml ,
calculation report,,,nasa taxonomy,
calculation report,,,owl-ql,
calculation report,,,cco,
calculation report,,,xml-schema-definition,
calculation report,,,,ms word
calculation report,,,,iges
calculation report,,,,mov
calculation report,,,,step
calculation report,,,,flat file
calculation report,,,,direct api
calculation report,,,,owl
calculation report,,,,html
calculation report,,,,rdf
calculation report,,,,json
calculation report,,,,ms excel
calculation report,,,,wav
calculation report,,,,xml
calculation report,,,,ad_asm
calculation report,,,,database
calculation report,,,,pdf
calculation report,,,,add
calculation report,,,,tiff
calculation report,,,,stl
calculation report,,,,igs
issue tc pc ac certification,access,,,
issue tc pc ac certification,tr,,,
issue tc pc ac certification,word,,,
issue tc pc ac certification,api,,,
issue tc pc ac certification,git,,,
issue tc pc ac certification,expert systems,,,
issue tc pc ac certification,rce,,,
issue tc pc ac certification,web-based decision tool,,,
issue tc pc ac certification,learning tools,,,
issue tc pc ac certification,data mining,,,
issue tc pc ac certification,express application,,,
issue tc pc ac certification,product data management system,,,
issue tc pc ac certification,ke-chain,,,
issue tc pc ac certification,ug,,,
issue tc pc ac certification,excel,,,
issue tc pc ac certification,web server,,,
issue tc pc ac certification,file server,,,
issue tc pc ac certification,cad programming interface,,,
issue tc pc ac certification,share point,,,
issue tc pc ac certification,,implicit geometry,,
issue tc pc ac certification,,knowledge graph,,
issue tc pc ac certification,,cad representation,,
issue tc pc ac certification,,description,,
issue tc pc ac certification,,section description,,
issue tc pc ac certification,,manufacturing method,,
issue tc pc ac certification,,forms,,
issue tc pc ac certification,,measurement data,,
issue tc pc ac certification,,process definitions,,
issue tc pc ac certification,,external web page,,
issue tc pc ac certification,,image,,
issue tc pc ac certification,,documents,,
issue tc pc ac certification,,object definitions,,
issue tc pc ac certification,,knowledge base,,
issue tc pc ac certification,,business logic,,
issue tc pc ac certification,,system definition,,
issue tc pc ac certification,,explicit geometry,,
issue tc pc ac certification,,material,,
issue tc pc ac certification,,tools needed,,
issue tc pc ac certification,,word doc,,
issue tc pc ac certification,,design parts,,
issue tc pc ac certification,,cad,,
issue tc pc ac certification,,,express,
issue tc pc ac certification,,,owl dl,
issue tc pc ac certification,,,rds,
issue tc pc ac certification,,,cco,
issue tc pc ac certification,,,,ms word
issue tc pc ac certification,,,,mov
issue tc pc ac certification,,,,step
issue tc pc ac certification,,,,direct api
issue tc pc ac certification,,,,owl
issue tc pc ac certification,,,,html
issue tc pc ac certification,,,,ms excel
issue tc pc ac certification,,,,xml
issue tc pc ac certification,,,,ad_asm
issue tc pc ac certification,,,,database
issue tc pc ac certification,,,,pdf
issue tc pc ac certification,,,,add
issue tc pc ac certification,,,,stl
preliminary design,java application,,,
preliminary design,optimus workflow management tool,,,
preliminary design,access,,,
preliminary design,brics technology,,,
preliminary design,multi-agent collaborative system,,,
preliminary design,brics,,,
preliminary design,isight,,,
preliminary design,tr,,,
preliminary design,word,,,
preliminary design,api,,,
preliminary design,catia,,,
preliminary design,oracle,,,
preliminary design,pest,,,
preliminary design,flops,,,
preliminary design,git,,,
preliminary design,eclipse,,,
preliminary design,modelcenter,,,
preliminary design,optimus,,,
preliminary design,ceasiom,,,
preliminary design,cloud visualization,,,
preliminary design,expert systems,,,
preliminary design,sas,,,
preliminary design,rce,,,
preliminary design,protégé,,,
preliminary design,google,,,
preliminary design,openmdao,,,
preliminary design,surrogate model repository,,,
preliminary design,matlab,,,
preliminary design,triple store,,,
preliminary design, engineering java programming,,,
preliminary design,aaa,,,
preliminary design,python application,,,
preliminary design,reasoner,,,
preliminary design,tixi,,,
preliminary design,outlook,,,
preliminary design,sumo,,,
preliminary design,web-based decision tool,,,
preliminary design,fortran application,,,
preliminary design,tigl,,,
preliminary design,learning tools,,,
preliminary design,data mining,,,
preliminary design,express application,,,
preliminary design,prado,,,
preliminary design,visualization package,,,
preliminary design,wikipedia,,,
preliminary design,workflow systems,,,
preliminary design,product data management system,,,
preliminary design,ke-chain,,,
preliminary design,ug,,,
preliminary design,excel,,,
preliminary design,web server,,,
preliminary design,tornado,,,
preliminary design,ideas,,,
preliminary design,file server,,,
preliminary design,cad programming interface,,,
preliminary design,share point,,,
preliminary design,,bom,,
preliminary design,,implicit geometry,,
preliminary design,,knowledge graph,,
preliminary design,,cad representation,,
preliminary design,,video,,
preliminary design,,lexical data,,
preliminary design,,description,,
preliminary design,,section description,,
preliminary design,,manufacturing method,,
preliminary design,,taxonomy,,
preliminary design,,forms,,
preliminary design,,measurement data,,
preliminary design,,process definitions,,
preliminary design,,external web page,,
preliminary design,,difficulty,,
preliminary design,,image,,
preliminary design,,quantity,,
preliminary design,,word processor documents,,
preliminary design,,cfd simulation data,,
preliminary design,,documents,,
preliminary design,,cfd code,,
preliminary design,,object definitions,,
preliminary design,,knowledge base,,
preliminary design,,mind map,,
preliminary design,,business logic,,
preliminary design,,audio,,
preliminary design,,live video,,
preliminary design,,system definition,,
preliminary design,,pdf files,,
preliminary design,,metadata,,
preliminary design,,capp,,
preliminary design,,explicit geometry,,
preliminary design,,material,,
preliminary design,,tools needed,,
preliminary design,,assemblies,,
preliminary design,,sysml model,,
preliminary design,,word doc,,
preliminary design,,animation,,
preliminary design,,ontology,,
preliminary design,,design parts,,
preliminary design,,tooling parts,,
preliminary design,,images,,
preliminary design,,cad,,
preliminary design,,,sparql,
preliminary design,,,express,
preliminary design,,,owl dl,
preliminary design,,,sql,
preliminary design,,,vampzero,
preliminary design,,,cmdows,
preliminary design,,,sysml,
preliminary design,,,aerospace ontology,
preliminary design,,,python,
preliminary design,,,rds,
preliminary design,,,openvsp,
preliminary design,,,kadmos,
preliminary design,,,addam,
preliminary design,,,topic maps,
preliminary design,,,uml,
preliminary design,,,sysml ,
preliminary design,,,nasa taxonomy,
preliminary design,,,owl-ql,
preliminary design,,,cco,
preliminary design,,,xml-schema-definition,
preliminary design,,,,ms word
preliminary design,,,,iges
preliminary design,,,,mov
preliminary design,,,,step
preliminary design,,,,flat file
preliminary design,,,,direct api
preliminary design,,,,owl
preliminary design,,,,html
preliminary design,,,,rdf
preliminary design,,,,json
preliminary design,,,,ms excel
preliminary design,,,,wav
preliminary design,,,,jpg
preliminary design,,,,xml
preliminary design,,,,ad_asm
preliminary design,,,,database
preliminary design,,,,pdf
preliminary design,,,,add
preliminary design,,,,tiff
preliminary design,,,,vrml
preliminary design,,,,stl
preliminary design,,,,cpacs
preliminary design,,,,igs
activity profiling,daedalus,,,
activity profiling,tr,,,
activity profiling,rce,,,
activity profiling,ug,,,
activity profiling,,description,,
activity profiling,,knowledge base,,
activity profiling,,ontology,,
activity profiling,,,rds,
activity profiling,,,cco,
activity profiling,,,,owl
activity profiling,,,,add
multimedia document processing,java application,,,
multimedia document processing,access,,,
multimedia document processing,multi-agent collaborative system,,,
multimedia document processing,tr,,,
multimedia document processing,word,,,
multimedia document processing,api,,,
multimedia document processing,git,,,
multimedia document processing,expert systems,,,
multimedia document processing,rce,,,
multimedia document processing,google,,,
multimedia document processing,triple store,,,
multimedia document processing,web-based decision tool,,,
multimedia document processing,learning tools,,,
multimedia document processing,data mining,,,
multimedia document processing,express application,,,
multimedia document processing,workflow systems,,,
multimedia document processing,product data management system,,,
multimedia document processing,ug,,,
multimedia document processing,excel,,,
multimedia document processing,web server,,,
multimedia document processing,ideas,,,
multimedia document processing,file server,,,
multimedia document processing,cad programming interface,,,
multimedia document processing,share point,,,
multimedia document processing,,knowledge graph,,
multimedia document processing,,cad representation,,
multimedia document processing,,video,,
multimedia document processing,,description,,
multimedia document processing,,section description,,
multimedia document processing,,manufacturing method,,
multimedia document processing,,taxonomy,,
multimedia document processing,,forms,,
multimedia document processing,,measurement data,,
multimedia document processing,,process definitions,,
multimedia document processing,,external web page,,
multimedia document processing,,image,,
multimedia document processing,,documents,,
multimedia document processing,,object definitions,,
multimedia document processing,,knowledge base,,
multimedia document processing,,mind map,,
multimedia document processing,,business logic,,
multimedia document processing,,audio,,
multimedia document processing,,live video,,
multimedia document processing,,system definition,,
multimedia document processing,,pdf files,,
multimedia document processing,,metadata,,
multimedia document processing,,material,,
multimedia document processing,,tools needed,,
multimedia document processing,,word doc,,
multimedia document processing,,ontology,,
multimedia document processing,,design parts,,
multimedia document processing,,images,,
multimedia document processing,,cad,,
multimedia document processing,,,sparql,
multimedia document processing,,,express,
multimedia document processing,,,owl dl,
multimedia document processing,,,sql,
multimedia document processing,,,aerospace ontology,
multimedia document processing,,,rds,
multimedia document processing,,,topic maps,
multimedia document processing,,,uml,
multimedia document processing,,,owl-ql,
multimedia document processing,,,cco,
multimedia document processing,,,xml-schema-definition,
multimedia document processing,,,,ms word
multimedia document processing,,,,mov
multimedia document processing,,,,step
multimedia document processing,,,,direct api
multimedia document processing,,,,owl
multimedia document processing,,,,html
multimedia document processing,,,,rdf
multimedia document processing,,,,ms excel
multimedia document processing,,,,xml
multimedia document processing,,,,ad_asm
multimedia document processing,,,,database
multimedia document processing,,,,pdf
multimedia document processing,,,,add
multimedia document processing,,,,stl
physical sensing,access,,,
physical sensing,tr,,,
physical sensing,word,,,
physical sensing,api,,,
physical sensing,git,,,
physical sensing,cloud visualization,,,
physical sensing,expert systems,,,
physical sensing,sas,,,
physical sensing,rce,,,
physical sensing,google,,,
physical sensing,aaa,,,
physical sensing,web-based decision tool,,,
physical sensing,learning tools,,,
physical sensing,data mining,,,
physical sensing,express application,,,
physical sensing,workflow systems,,,
physical sensing,product data management system,,,
physical sensing,ke-chain,,,
physical sensing,ug,,,
physical sensing,excel,,,
physical sensing,web server,,,
physical sensing,ideas,,,
physical sensing,file server,,,
physical sensing,cad programming interface,,,
physical sensing,share point,,,
physical sensing,,knowledge graph,,
physical sensing,,cad representation,,
physical sensing,,description,,
physical sensing,,section description,,
physical sensing,,manufacturing method,,
physical sensing,,forms,,
physical sensing,,measurement data,,
physical sensing,,process definitions,,
physical sensing,,external web page,,
physical sensing,,image,,
physical sensing,,documents,,
physical sensing,,object definitions,,
physical sensing,,knowledge base,,
physical sensing,,mind map,,
physical sensing,,business logic,,
physical sensing,,system definition,,
physical sensing,,pdf files,,
physical sensing,,metadata,,
physical sensing,,material,,
physical sensing,,tools needed,,
physical sensing,,word doc,,
physical sensing,,ontology,,
physical sensing,,design parts,,
physical sensing,,images,,
physical sensing,,cad,,
physical sensing,,,express,
physical sensing,,,owl dl,
physical sensing,,,aerospace ontology,
physical sensing,,,rds,
physical sensing,,,topic maps,
physical sensing,,,owl-ql,
physical sensing,,,cco,
physical sensing,,,,ms word
physical sensing,,,,mov
physical sensing,,,,step
physical sensing,,,,direct api
physical sensing,,,,owl
physical sensing,,,,html
physical sensing,,,,rdf
physical sensing,,,,ms excel
physical sensing,,,,wav
physical sensing,,,,xml
physical sensing,,,,ad_asm
physical sensing,,,,database
physical sensing,,,,pdf
physical sensing,,,,add
physical sensing,,,,stl
processing,oracle server,,,
processing,java application,,,
processing,optimus workflow management tool,,,
processing,access,,,
processing,spss,,,
processing,brics technology,,,
processing,multi-agent collaborative system,,,
processing,brics,,,
processing,isight,,,
processing,tr,,,
processing,word,,,
processing,api,,,
processing,catia,,,
processing,oracle,,,
processing,pest,,,
processing,flops,,,
processing,git,,,
processing,imagenet,,,
processing,eclipse,,,
processing,inverted index,,,
processing,modelcenter,,,
processing,optimus,,,
processing,ceasiom,,,
processing,cloud visualization,,,
processing,expert systems,,,
processing,sas,,,
processing,rce,,,
processing,protégé,,,
processing,google,,,
processing,openmdao,,,
processing,surrogate model repository,,,
processing,matlab,,,
processing,triple store,,,
processing, engineering java programming,,,
processing,aaa,,,
processing,python application,,,
processing,reasoner,,,
processing,tixi,,,
processing,texttoonto,,,
processing,outlook,,,
processing,sumo,,,
processing,web-based decision tool,,,
processing,fortran application,,,
processing,tigl,,,
processing,learning tools,,,
processing,data mining,,,
processing,express application,,,
processing,cfview,,,
processing,visualization package,,,
processing,wikipedia,,,
processing,workflow systems,,,
processing,product data management system,,,
processing,ke-chain,,,
processing,ug,,,
processing,excel,,,
processing,solidworks,,,
processing,web server,,,
processing,tornado,,,
processing,ideas,,,
processing,file server,,,
processing,cad programming interface,,,
processing,share point,,,
processing,,bom,,
processing,,implicit geometry,,
processing,,knowledge graph,,
processing,,cad representation,,
processing,,video,,
processing,,lexical data,,
processing,,description,,
processing,,section description,,
processing,,manufacturing method,,
processing,,taxonomy,,
processing,,animations,,
processing,,forms,,
processing,,measurement data,,
processing,,process definitions,,
processing,,external web page,,
processing,,difficulty,,
processing,,image,,
processing,,quantity,,
processing,,word processor documents,,
processing,,cfd simulation data,,
processing,,documents,,
processing,,cfd code,,
processing,,point clouds,,
processing,,object definitions,,
processing,,knowledge base,,
processing,,mind map,,
processing,,business logic,,
processing,,audio,,
processing,,live video,,
processing,,system definition,,
processing,,pdf files,,
processing,,metadata,,
processing,,capp,,
processing,,explicit geometry,,
processing,,material,,
processing,,tools needed,,
processing,,assemblies,,
processing,,freebase,,
processing,,sysml model,,
processing,,word doc,,
processing,,animation,,
processing,,ontology,,
processing,,design parts,,
processing,,tooling parts,,
processing,,images,,
processing,,cad,,
processing,,,sparql,
processing,,,express,
processing,,,cypher,
processing,,,vba,
processing,,,bond graphs,
processing,,,owl dl,
processing,,,postgresql,
processing,,,sql,
processing,,,cmdows,
processing,,,sysml,
processing,,,wordnet,
processing,,,aerospace ontology,
processing,,,python,
processing,,,rds,
processing,,,airspace system ontology,
processing,,,codex,
processing,,,nosql,
processing,,,kadmos,
processing,,,bfo,
processing,,,addam,
processing,,,topic maps,
processing,,,uml,
processing,,,sysml ,
processing,,,nasa taxonomy,
processing,,,owl-ql,
processing,,,cco,
processing,,,xquery,
processing,,,xml-schema-definition,
processing,,,,ms word
processing,,,,iges
processing,,,,mov
processing,,,,jpeg
processing,,,,step
processing,,,,flat file
processing,,,,direct api
processing,,,,owl
processing,,,,html
processing,,,,rdf
processing,,,,json
processing,,,,ms excel
processing,,,,wav
processing,,,,png
processing,,,,xml
processing,,,,ad_asm
processing,,,,database
processing,,,,pdf
processing,,,,soap
processing,,,,add
processing,,,,tiff
processing,,,,gif
processing,,,,flash
processing,,,,vrml
processing,,,,mpeg
processing,,,,stl
processing,,,,txt
processing,,,,cpacs
processing,,,,igs
processing,,,,csv
system arch,oracle server,,,
system arch,java application,,,
system arch,optimus workflow management tool,,,
system arch,access,,,
system arch,spss,,,
system arch,brics technology,,,
system arch,multi-agent collaborative system,,,
system arch,daedalus,,,
system arch,brics,,,
system arch,isight,,,
system arch,vivisimo,,,
system arch,tr,,,
system arch,word,,,
system arch,syndeia,,,
system arch,api,,,
system arch,catia,,,
system arch,oracle,,,
system arch,pest,,,
system arch,flops,,,
system arch,git,,,
system arch,imagenet,,,
system arch,eclipse,,,
system arch,inverted index,,,
system arch,modelcenter,,,
system arch,jade,,,
system arch,optimus,,,
system arch,ceasiom,,,
system arch,cloud visualization,,,
system arch,expert systems,,,
system arch,sas,,,
system arch,rce,,,
system arch,protégé,,,
system arch,google,,,
system arch,pykechain,,,
system arch,openmdao,,,
system arch,surrogate model repository,,,
system arch,matlab,,,
system arch,triple store,,,
system arch,eclipse plugin,,,
system arch, engineering java programming,,,
system arch,aaa,,,
system arch,python application,,,
system arch,reasoner,,,
system arch,tixi,,,
system arch,kaon,,,
system arch,outlook,,,
system arch,sumo,,,
system arch,web-based decision tool,,,
system arch,fortran application,,,
system arch,tigl,,,
system arch,learning tools,,,
system arch,data mining,,,
system arch,multilinq,,,
system arch,networkx,,,
system arch,express application,,,
system arch,prado,,,
system arch,visualization package,,,
system arch,wikipedia,,,
system arch,workflow systems,,,
system arch,product data management system,,,
system arch,ke-chain,,,
system arch,ug,,,
system arch,excel,,,
system arch,solidworks,,,
system arch,web server,,,
system arch,tornado,,,
system arch,ideas,,,
system arch,file server,,,
system arch,cad programming interface,,,
system arch,share point,,,
system arch,,bom,,
system arch,,implicit geometry,,
system arch,,knowledge graph,,
system arch,,cad representation,,
system arch,,video,,
system arch,,lexical data,,
system arch,,description,,
system arch,,section description,,
system arch,,manufacturing method,,
system arch,,taxonomy,,
system arch,,animations,,
system arch,,forms,,
system arch,,measurement data,,
system arch,,process definitions,,
system arch,,external web page,,
system arch,,difficulty,,
system arch,,image,,
system arch,,quantity,,
system arch,,word processor documents,,
system arch,,cfd simulation data,,
system arch,,documents,,
system arch,,cfd code,,
system arch,,point clouds,,
system arch,,object definitions,,
system arch,,knowledge base,,
system arch,,mind map,,
system arch,,babelnet,,
system arch,,business logic,,
system arch,,audio,,
system arch,,live video,,
system arch,,system definition,,
system arch,,pdf files,,
system arch,,metadata,,
system arch,,capp,,
system arch,,explicit geometry,,
system arch,,material,,
system arch,,tools needed,,
system arch,,assemblies,,
system arch,,freebase,,
system arch,,sysml model,,
system arch,,word doc,,
system arch,,animation,,
system arch,,ontology,,
system arch,,design parts,,
system arch,,tooling parts,,
system arch,,images,,
system arch,,cad,,
system arch,,,sparql,
system arch,,,express,
system arch,,,cypher,
system arch,,,vba,
system arch,,,bond graphs,
system arch,,,dtad,
system arch,,,owl dl,
system arch,,,postgresql,
system arch,,,sql,
system arch,,,vampzero,
system arch,,,cmdows,
system arch,,,mdax,
system arch,,,sysml,
system arch,,,wordnet,
system arch,,,aerospace ontology,
system arch,,,python,
system arch,,,orbital space environment domain ontology,
system arch,,,rds,
system arch,,,openvsp,
system arch,,,airspace system ontology,
system arch,,,codex,
system arch,,,nosql,
system arch,,,rvf,
system arch,,,kadmos,
system arch,,,bfo,
system arch,,,addam,
system arch,,,topic maps,
system arch,,,uml,
system arch,,,sysml ,
system arch,,,nasa taxonomy,
system arch,,,owl-ql,
system arch,,,cco,
system arch,,,xquery,
system arch,,,serql,
system arch,,,xml-schema-definition,
system arch,,,,ms word
system arch,,,,iges
system arch,,,,mov
system arch,,,,jpeg
system arch,,,,step
system arch,,,,flat file
system arch,,,,direct api
system arch,,,,owl
system arch,,,,html
system arch,,,,rdf
system arch,,,,json
system arch,,,,ms excel
system arch,,,,wav
system arch,,,,jpg
system arch,,,,png
system arch,,,,xml
system arch,,,,ad_asm
system arch,,,,database
system arch,,,,pdf
system arch,,,,soap
system arch,,,,add
system arch,,,,tiff
system arch,,,,gif
system arch,,,,dxf
system arch,,,,acis
system arch,,,,flash
system arch,,,,ad_prt
system arch,,,,vrml
system arch,,,,mpeg
system arch,,,,stl
system arch,,,,txt
system arch,,,,cpacs
system arch,,,,igs
system arch,,,,csv
flight test,java application,,,
flight test,optimus workflow management tool,,,
flight test,access,,,
flight test,spss,,,
flight test,brics technology,,,
flight test,multi-agent collaborative system,,,
flight test,brics,,,
flight test,tr,,,
flight test,word,,,
flight test,api,,,
flight test,catia,,,
flight test,pest,,,
flight test,flops,,,
flight test,git,,,
flight test,eclipse,,,
flight test,modelcenter,,,
flight test,optimus,,,
flight test,ceasiom,,,
flight test,cloud visualization,,,
flight test,expert systems,,,
flight test,sas,,,
flight test,rce,,,
flight test,protégé,,,
flight test,google,,,
flight test,surrogate model repository,,,
flight test,matlab,,,
flight test,triple store,,,
flight test, engineering java programming,,,
flight test,aaa,,,
flight test,python application,,,
flight test,reasoner,,,
flight test,outlook,,,
flight test,sumo,,,
flight test,web-based decision tool,,,
flight test,fortran application,,,
flight test,tigl,,,
flight test,learning tools,,,
flight test,data mining,,,
flight test,express application,,,
flight test,visualization package,,,
flight test,wikipedia,,,
flight test,workflow systems,,,
flight test,product data management system,,,
flight test,ke-chain,,,
flight test,ug,,,
flight test,excel,,,
flight test,web server,,,
flight test,tornado,,,
flight test,ideas,,,
flight test,file server,,,
flight test,cad programming interface,,,
flight test,share point,,,
flight test,,bom,,
flight test,,implicit geometry,,
flight test,,knowledge graph,,
flight test,,cad representation,,
flight test,,video,,
flight test,,description,,
flight test,,section description,,
flight test,,manufacturing method,,
flight test,,taxonomy,,
flight test,,forms,,
flight test,,measurement data,,
flight test,,process definitions,,
flight test,,external web page,,
flight test,,difficulty,,
flight test,,image,,
flight test,,quantity,,
flight test,,word processor documents,,
flight test,,cfd simulation data,,
flight test,,documents,,
flight test,,cfd code,,
flight test,,object definitions,,
flight test,,knowledge base,,
flight test,,mind map,,
flight test,,business logic,,
flight test,,audio,,
flight test,,live video,,
flight test,,system definition,,
flight test,,pdf files,,
flight test,,metadata,,
flight test,,capp,,
flight test,,explicit geometry,,
flight test,,material,,
flight test,,tools needed,,
flight test,,assemblies,,
flight test,,sysml model,,
flight test,,word doc,,
flight test,,animation,,
flight test,,ontology,,
flight test,,design parts,,
flight test,,tooling parts,,
flight test,,images,,
flight test,,cad,,
flight test,,,sparql,
flight test,,,express,
flight test,,,vba,
flight test,,,owl dl,
flight test,,,sql,
flight test,,,cmdows,
flight test,,,sysml,
flight test,,,aerospace ontology,
flight test,,,python,
flight test,,,rds,
flight test,,,openvsp,
flight test,,,topic maps,
flight test,,,uml,
